property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,1 B/R,Existing Properties,Wadi Al Safa 3,857.4284652545523,4,,,38.972589541993,91.77374216084816,0.036070698569195626,43.12837260476549
Villa,5 B/R,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1003.3999907097734,310,,,38.972589541993,89.18005664885325,3.715281952627149,43.08610920197861
Villa,2 B/R,Off-Plan Properties,Dubai Investment Park First,895.7000185804534,54,,,38.972589541993,91.09371656631274,0.6372490080557893,43.04460058830218
Villa,3 B/R,Off-Plan Properties,Al Barsha South Fourth,653.9483463396508,470,2.568978814224465,2.568978814224465,33.14472623127083,95.38926535801089,5.639052542984249,43.00248060850845
Villa,4 B/R,Off-Plan Properties,Al Hebiah Sixth,1054.8037439613527,757,9.966258053048849,9.966258053048849,36.68907088362403,88.26669241802125,9.089816039437297,42.97359928674344
Villa,1 B/R,Off-Plan Properties,Dubai Investment Park First,911.5760869565216,52,,,38.972589541993,90.81162368274497,0.6132018756763256,42.955163296755956
Villa,2 B/R,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1370.8918617614272,403,23.02394900627691,23.02394900627691,42.945554599859925,82.65030135068743,4.833473608272214,42.94000696680464
Villa,4 B/R,Off-Plan Properties,Al Barsha South Fourth,985.9234485321442,208,,,38.972589541993,89.49058744658606,2.488878201274498,42.93398769102792
Villa,3 B/R,Off-Plan Properties,Al Hebiah Sixth,1305.7803790412486,1132,11.42321830620878,11.42321830620878,37.38716123755789,83.80723047689321,13.59865336058675,42.81676431020847
Villa,2 B/R,Existing Properties,Saih Shuaib 2,619.3515421776292,24,5.884766729828228,5.884766729828228,34.733458356634706,96.003996412143,0.27654202236383313,42.749890670769545
Villa,3 B/R,Off-Plan Properties,Jabal Ali First,962.535767372724,70,,,38.972589541993,89.9061499310718,0.8296260670914993,42.726806009537036
Villa,1 B/R,Off-Plan Properties,Saih Shuaib 2,962.0220178372352,6,,,38.972589541993,89.91527845612376,0.06011783094865937,42.57564291982406
